	frame_id	frame_number	face_id	face_number	prediction	emotion
23	1628aa0f-be85-47c4-9b9b-3b44adfb3ab5	25	b1b7d33f-07e3-471f-b066-e9a028a42fa8	1	"[[1.7949009e-05 2.1137698e-08 1.1876612e-03 2.4796176e-05 2.1464131e-05
  1.0865135e-05 9.9873728e-01]]"	Surprise
24	1e7484b3-85cb-4e0c-8778-abdb2be094c8	26	0510d3a1-0f45-43d0-9d85-0c1e36ae2566	1	"[[2.3219403e-05 3.0101930e-08 1.1398261e-03 5.7512378e-05 3.1041611e-05
  1.4557489e-05 9.9873370e-01]]"	Surprise
25	091cf07d-7a43-48f2-9f6d-a721b922fe08	27	c13f32c5-a847-47f2-a60d-c7d9afeee455	1	"[[2.4307106e-05 5.1449426e-08 2.3147587e-03 5.1646042e-05 5.1347790e-05
  2.2316073e-05 9.9753559e-01]]"	Surprise
26	72ec5c20-174f-4668-9a23-608e4e60bc35	28	708b77e7-20a0-4265-b8c8-dd1b4990e547	1	"[[1.2815911e-05 1.5290784e-08 9.0588036e-04 2.7202741e-05 9.4373509e-06
  7.5565586e-06 9.9903715e-01]]"	Surprise
27	296bbf5e-e2f9-42e3-a5a7-39c72e3606ad	29	db824d7c-3a43-411e-b8f5-8847f00b2392	1	"[[2.4213135e-05 2.6338045e-08 1.3209780e-03 6.2991247e-05 2.3019551e-05
  1.3425648e-05 9.9855536e-01]]"	Surprise
28	5962fb06-4f11-469d-8d46-f831b1437992	30	239436b3-a076-4c49-b062-91279f7ac612	1	"[[2.2295299e-05 4.6581256e-08 1.5137866e-03 5.8817921e-05 3.8153292e-05
  1.6268896e-05 9.9835062e-01]]"	Surprise
29	de5e983b-a681-4f09-a797-d1e24c2cb5e5	31	674c36d1-76ea-489c-bc0f-0ffc961b8557	1	"[[5.0637187e-05 7.9615674e-08 2.5431707e-03 8.8279230e-05 5.5882560e-05
  3.6072128e-05 9.9722582e-01]]"	Surprise
30	d5232702-1251-40c2-9079-920668e1046e	32	91a2eb9a-84df-4e59-bfcf-971df064d03b	1	"[[3.3513083e-05 4.5890705e-08 1.8328680e-03 1.1138199e-04 6.1716397e-05
  2.6108926e-05 9.9793446e-01]]"	Surprise
31	a27b4d28-f251-4ab1-b513-cc868ad22c5e	33	dacf36fe-f7e5-4921-81f3-9227ba225fff	1	"[[1.0146193e-04 1.4704501e-07 2.5815973e-03 1.3149598e-04 6.9693539e-05
  5.3617874e-05 9.9706191e-01]]"	Surprise
32	9263bf3b-4f64-49a1-bfa4-b646d281242c	34	92d34578-f14f-49de-8fed-e6f94d2f5001	1	"[[5.2832595e-05 4.9933309e-08 2.5319837e-03 4.5482568e-05 6.1651808e-05
  3.1072490e-05 9.9727696e-01]]"	Surprise
33	6d23598d-472c-476d-903f-21891f01ef1b	35	6fe9b347-6a6c-423b-8b40-a4e7bfc70f9b	1	"[[1.1970116e-04 1.5693531e-07 6.0389126e-03 1.2227586e-04 2.4022828e-04
  1.1656676e-04 9.9336219e-01]]"	Surprise
