	frame_id	frame_number	face_id	face_number	prediction	emotion
0	f6c186fc-7399-4690-aa6f-178b58d531d1	3	83b8078e-d87e-4f44-a031-4a6ee6cec47e	1	"[[1.9324756e-01 2.3244212e-04 1.7112687e-01 1.4509740e-02 2.0142253e-01
  3.7893334e-01 4.0527560e-02]]"	Sad
1	1276af15-e9ff-4e0a-84d4-74d6f2d8f4a9	4	14e579ce-e8df-4299-bd22-28dba68ffb81	1	"[[2.4775518e-04 4.0760574e-07 7.5085275e-03 1.2146344e-04 2.1125375e-04
  1.8680170e-04 9.9172372e-01]]"	Surprise
2	83feacdc-6897-4e65-abe0-509ce5b00341	5	fa98e91b-0b2d-4e9a-9d5f-3854cc196aab	1	"[[1.2383731e-05 3.4841401e-09 6.4106169e-04 9.2147238e-06 8.8740771e-06
  3.8589592e-06 9.9932468e-01]]"	Surprise
3	d47da9ab-c080-4275-a07d-4afe11992dce	6	d40a2a8c-5b88-4688-adec-6c4c09aa1559	1	"[[6.9594735e-06 4.0035903e-09 5.5747572e-04 4.4166413e-06 4.1116068e-06
  2.4119981e-06 9.9942470e-01]]"	Surprise
4	d47da9ab-c080-4275-a07d-4afe11992dce	6	f3d65c41-0e33-4838-91a4-3a3cb2078278	2	"[[8.9985505e-03 7.0343922e-06 3.6022760e-02 2.4188174e-02 8.0173159e-01
  1.2252282e-01 6.5290681e-03]]"	Neutral
5	5147107c-1f09-47ea-88af-b4b6d2c62fec	7	3e102704-3694-460f-a515-929ad43bc389	1	"[[6.2812498e-04 6.1110859e-07 9.2603639e-03 4.8373640e-04 3.5276174e-04
  3.7810544e-04 9.8889625e-01]]"	Surprise
6	41c044f8-8abb-47d1-b56c-9ac2f9e1073e	8	e2a600e5-70db-4221-9115-b32ede20af5f	1	"[[2.74209706e-05 1.11195675e-08 1.43241324e-03 2.70533692e-05
  2.62960511e-05 7.43128203e-06 9.98479426e-01]]"	Surprise
7	bb0383fe-59a1-4a2a-a723-bf350b402d6a	9	14819f2a-d4d0-4dec-a5a2-04f026d0ee3b	1	"[[1.1050597e-05 6.2755681e-09 6.1307778e-04 4.5736897e-06 5.6257304e-06
  3.9359447e-06 9.9936181e-01]]"	Surprise
8	de013ca0-7249-452f-b337-1955b40046f2	10	c315fc54-c4f8-4de3-950d-8240f55a1e29	1	"[[3.5192585e-04 4.7451928e-07 6.3519049e-03 2.4744854e-04 2.6603337e-04
  2.6614580e-04 9.9251610e-01]]"	Surprise
9	c78e3b06-9a75-4f6a-b86c-3884f3b40202	11	ea023085-5b57-43ba-80ff-ab3ebb933b1e	1	"[[1.5937730e-05 1.1500988e-08 9.0133882e-04 2.5696701e-05 1.7030254e-05
  7.3363108e-06 9.9903274e-01]]"	Surprise
10	aa5b6629-0cd8-4e43-b06b-78c883f13a3b	12	c75c90f2-44d6-4545-a530-e2184a4a1fdc	1	"[[8.3290506e-06 7.2062916e-09 7.9004042e-04 1.1686325e-05 1.0271458e-05
  4.6514606e-06 9.9917501e-01]]"	Surprise
11	1669eafc-be5e-4eb0-8c85-593a508ac731	13	fc1da14f-862a-40f3-962e-037e838f3f29	1	"[[1.6490341e-05 2.9985472e-08 1.4116473e-03 1.9805198e-05 1.5735121e-05
  8.8381248e-06 9.9852741e-01]]"	Surprise
12	f744902a-e5e9-472d-8eb6-175148a8b9f1	14	93cb6ab5-fd37-4ed1-bf87-064ccf20554a	1	"[[1.3292004e-05 1.2712071e-08 9.1595214e-04 2.1103708e-05 1.3009628e-05
  5.1856878e-06 9.9903142e-01]]"	Surprise
13	4a46b493-f4d9-49a1-b8bd-1cb6bf35f63b	15	494a258d-c019-47d0-b9d8-c5f56c79fae1	1	"[[2.2425744e-05 2.4751179e-08 1.3707576e-03 2.2493170e-05 2.2403470e-05
  1.0220917e-05 9.9855167e-01]]"	Surprise
14	f941a3c7-1f90-4c30-b010-2ca3ee7c16a4	16	72e896e2-f076-4321-b505-279b736ad925	1	"[[1.3036951e-05 1.1608609e-08 1.0896703e-03 1.6408643e-05 9.9128756e-06
  5.4230336e-06 9.9886560e-01]]"	Surprise
15	5e78211e-5bb4-4f1a-ac21-5dd9da40bc0d	17	9a932796-1670-404d-a9b6-e16c6027e51f	1	"[[3.6622376e-05 4.7500269e-08 1.8916734e-03 5.7964615e-05 6.4232299e-05
  2.6897727e-05 9.9792248e-01]]"	Surprise
16	ddd3b9a7-039e-40ef-83a4-8947a1eca6c2	18	fd029b68-0c84-430c-bfc3-c995c0504263	1	"[[9.9254303e-06 1.4157317e-08 6.9951802e-04 1.5221596e-05 5.6578160e-06
  3.6499305e-06 9.9926597e-01]]"	Surprise
17	8e3803c2-7c77-431b-a8fe-0022f4f77136	19	bbb48017-9155-49c9-8f14-18912339bd35	1	"[[1.2973479e-05 1.4025850e-08 8.2442438e-04 2.8735503e-05 1.4111700e-05
  7.0168794e-06 9.9911278e-01]]"	Surprise
18	92b4e455-9e41-472c-88ce-fd6a52221cc1	20	31006e58-3cbb-40c9-98f7-a1bf8b9dc41b	1	"[[1.2187437e-05 1.5691024e-08 1.1213821e-03 1.4540231e-05 1.8098854e-05
  8.3865261e-06 9.9882537e-01]]"	Surprise
19	45d68d9d-b381-4c07-933f-64df62683dcc	21	b033956c-cae6-4681-bfd4-04c7a865e3b2	1	"[[8.35314313e-06 1.13687655e-08 6.22695370e-04 1.74644028e-05
  4.19044954e-06 2.89147783e-06 9.99344409e-01]]"	Surprise
20	9939ef05-63cb-4e12-ae39-d7ec397c6b95	22	25bcb395-e449-41b5-b5d6-196e7039dc61	1	"[[2.4227942e-05 4.9283624e-08 1.8458420e-03 3.7710444e-05 1.8417377e-05
  1.3541428e-05 9.9806029e-01]]"	Surprise
21	ab0f6a54-742b-4cdc-95e9-d9dbf8e68bb8	23	3aff0584-1dc7-4b3c-af52-da0088349917	1	"[[7.6875704e-06 9.6416244e-09 9.0180314e-04 7.1216614e-06 6.4386782e-06
  3.5789342e-06 9.9907327e-01]]"	Surprise
22	cd5caa33-5aaa-4895-a5e6-be21047a51c5	24	1f48d5b5-5461-45bb-8e31-5e4dd885612f	1	"[[6.0618977e-06 7.3141049e-09 7.5888791e-04 5.8589540e-06 7.0395736e-06
  3.6525912e-06 9.9921846e-01]]"	Surprise
